V1	V2	V3	V4	V5	V6	V7
2269	sbi00061	Fatty acid biosynthesis 	Sb02g022080	Sobic.002G171600	fabG	K00059	EC:1.1.1.100
2270	sbi01040	Biosynthesis of unsaturated fatty acids 	Sb02g022080	Sobic.002G171600	fabG	K00059	EC:1.1.1.100
2271	sbi00780	Biotin metabolism 	Sb02g022080	Sobic.002G171600	fabG	K00059	EC:1.1.1.100
2272	sbi04075	Plant hormone signal transduction 	Sb02g022090	Sobic.002G172000	PP2C	K14497	EC:3.1.3.16
2274	sbi00480	Glutathione metabolism 	Sb02g022210	Sobic.002G173200	GST	K00799	EC:2.5.1.18
2275	sbi03010	Ribosome 	Sb02g022390	Sobic.002G175100	RP-L44e	K02929	-
2276	sbi00940	Phenylpropanoid biosynthesis 	Sb02g022440	Sobic.002G175600	E2.3.1.133	K13065	EC:2.3.1.133
2277	sbi00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis 	Sb02g022440	Sobic.002G175600	E2.3.1.133	K13065	EC:2.3.1.133
2278	sbi00941	Flavonoid biosynthesis 	Sb02g022440	Sobic.002G175600	E2.3.1.133	K13065	EC:2.3.1.133
2802	sbi00500	Starch and sucrose metabolism 	Sb03g000480	Sobic.003G003500	E3.2.1.2	K01177	EC:3.2.1.2
2806	sbi04120	Ubiquitin mediated proteolysis 	Sb03g000630	Sobic.003G005100	SIAH1	K04506	EC:6.3.2.19
2807	sbi04120	Ubiquitin mediated proteolysis 	Sb03g000730	Sobic.003G006200	UBE2O	K10581	EC:6.3.2.19
2808	sbi03013	RNA transport 	Sb03g000750	Sobic.003G006400	rnz	K00784	EC:3.1.26.11
2809	sbi00630	Glyoxylate and dicarboxylate metabolism 	Sb03g000950	Sobic.003G008900	HPR2	K15919	-
2810	sbi00260	Glycine, serine and threonine metabolism 	Sb03g000950	Sobic.003G008900	HPR2	K15919	-
2811	sbi04146	Peroxisome 	Sb03g000970	Sobic.003G009100	MPV17	K13348	-
2812	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb03g000990	Sobic.003G009300	COQ5	K06127	EC:2.1.1.201
2813	sbi04144	Endocytosis 	Sb03g001085	Sobic.003G010400	RAB7A	K07897	-
2814	sbi04145	Phagosome 	Sb03g001085	Sobic.003G010400	RAB7A	K07897	-
2815	sbi00860	Porphyrin and chlorophyll metabolism 	Sb03g001100	Sobic.003G010600	NOL	K13606	EC:1.1.1.294
2816	sbi00770	Pantothenate and CoA biosynthesis 	Sb03g001180	Sobic.003G011600	panB	K00606	EC:2.1.2.11
2817	sbi00770	Pantothenate and CoA biosynthesis 	Sb03g001190	Sobic.003G011700	panB	K00606	EC:2.1.2.11
2818	sbi00770	Pantothenate and CoA biosynthesis 	Sb03g001200	Sobic.003G011800	panB	K00606	EC:2.1.2.11
2819	sbi03010	Ribosome 	Sb03g001290	Sobic.003G012700	RP-S15Ae	K02957	-
2822	sbi04075	Plant hormone signal transduction 	Sb03g001440	Sobic.003G014500	EIN2	K14513	-
2823	sbi04075	Plant hormone signal transduction 	Sb03g001490	Sobic.003G015000	GH3	K14487	-
2824	sbi04075	Plant hormone signal transduction 	Sb03g001500	Sobic.003G015100	GH3	K14487	-
2825	sbi03010	Ribosome 	Sb03g001540	Sobic.003G015400	RP-S6	K02990	-
2826	sbi03040	Spliceosome 	Sb03g001570	Sobic.003G015900	CWC15	K12863	-
2827	sbi03040	Spliceosome 	Sb03g001680	Sobic.003G016900	SF3B1	K12828	-
2828	sbi00240	Pyrimidine metabolism 	Sb03g001705	Sobic.003G017300	pyrG	K01937	EC:6.3.4.2
2830	sbi03040	Spliceosome 	Sb03g001950	Sobic.003G018600	SNRPE	K11097	-
2831	sbi03013	RNA transport 	Sb03g001760	Sobic.003G021200	SEC13	K14004	-
2832	sbi04141	Protein processing in endoplasmic reticulum 	Sb03g001760	Sobic.003G021200	SEC13	K14004	-
2834	sbi00100	Steroid biosynthesis 	Sb03g002060	Sobic.003G021900	CYP710A	K09832	-
2835	sbi00904	Diterpenoid biosynthesis 	Sb03g002150	Sobic.003G022700	E1.14.11.13	K04125	EC:1.14.11.13
2836	sbi03010	Ribosome 	Sb03g002160	Sobic.003G022800	RP-L23	K02892	-
2837	sbi03018	RNA degradation 	Sb03g002170	Sobic.003G022900	CNOT4	K10643	EC:6.3.2.19
2838	sbi00510	N-Glycan biosynthesis 	Sb03g002210	Sobic.003G023300	ALG9	K03846	EC:2.4.1.259 2.4.1.261
2839	sbi04130	SNARE interactions in vesicular transport 	Sb03g002230	Sobic.003G023500	STX16	K08489	-
2840	sbi00360	Phenylalanine metabolism 	Sb03g002370	Sobic.003G024700	E1.11.1.7	K00430	EC:1.11.1.7
2841	sbi00940	Phenylpropanoid biosynthesis 	Sb03g002370	Sobic.003G024700	E1.11.1.7	K00430	EC:1.11.1.7
2842	sbi04075	Plant hormone signal transduction 	Sb03g002380	Sobic.003G024800	BIN2	K14502	EC:2.7.11.1
2843	sbi03010	Ribosome 	Sb03g002420	Sobic.003G025200	RP-L11e	K02868	-
2844	sbi00230	Purine metabolism 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2845	sbi00240	Pyrimidine metabolism 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2846	sbi03030	DNA replication 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2847	sbi03410	Base excision repair 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2848	sbi03420	Nucleotide excision repair 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2849	sbi03430	Mismatch repair 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2850	sbi03440	Homologous recombination 	Sb03g002450	Sobic.003G025600	POLD3	K03504	-
2851	sbi04712	Circadian rhythm - plant 	Sb03g002500	Sobic.003G026600	FT	K16223	-
2852	sbi00230	Purine metabolism 	Sb03g002690	Sobic.003G028600	ADE2	K11808	EC:4.1.1.21
2854	sbi00564	Glycerophospholipid metabolism 	Sb03g002740	Sobic.003G029200	LYPLA3	K06129	EC:3.1.1.5
2855	sbi00908	Zeatin biosynthesis 	Sb03g002810	Sobic.003G029900	CKX	K00279	EC:1.5.99.12
2858	sbi00905	Brassinosteroid biosynthesis 	Sb03g002870	Sobic.003G030600	CYP90D2	K09589	EC:1.14.-.-
2859	sbi04075	Plant hormone signal transduction 	Sb03g002980	Sobic.003G032000	NPR1	K14508	-
2860	sbi00270	Cysteine and methionine metabolism 	Sb03g003070	Sobic.003G033900	ACS	K01762	EC:4.4.1.14
2861	sbi01200	Carbon metabolism 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2862	sbi01230	Biosynthesis of amino acids 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2863	sbi00010	Glycolysis / Gluconeogenesis 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2864	sbi00030	Pentose phosphate pathway 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2865	sbi00051	Fructose and mannose metabolism 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2866	sbi00052	Galactose metabolism 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2867	sbi03018	RNA degradation 	Sb03g003140	Sobic.003G034700	pfkA	K00850	EC:2.7.1.11
2868	sbi01200	Carbon metabolism 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2869	sbi00010	Glycolysis / Gluconeogenesis 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2870	sbi00051	Fructose and mannose metabolism 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2871	sbi00052	Galactose metabolism 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2872	sbi00500	Starch and sucrose metabolism 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2873	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2874	sbi00524	Butirosin and neomycin biosynthesis	Sb03g003190	Sobic.003G035500	HK	K00844	EC:2.7.1.1
2875	sbi04075	Plant hormone signal transduction 	Sb03g003200	Sobic.003G035700	IAA	K14484	-
2876	sbi01200	Carbon metabolism 	Sb03g003220	Sobic.003G036000	E1.1.1.40	K00029	EC:1.1.1.40
2877	sbi00620	Pyruvate metabolism 	Sb03g003220	Sobic.003G036000	E1.1.1.40	K00029	EC:1.1.1.40
2878	sbi00710	Carbon fixation in photosynthetic organisms 	Sb03g003220	Sobic.003G036000	E1.1.1.40	K00029	EC:1.1.1.40
2882	sbi03013	RNA transport 	Sb03g003250	Sobic.003G036400	EIF3A	K03254	-
2883	sbi00908	Zeatin biosynthesis 	Sb03g003280	Sobic.003G036700	CKX	K00279	EC:1.5.99.12
2884	sbi00430	Taurine and hypotaurine metabolism 	Sb03g003375	Sobic.003G037600	ADO	K10712	EC:1.13.11.19
2885	sbi03040	Spliceosome 	Sb03g003400	Sobic.003G037900	SNU23	K12848	-
2887	sbi00563	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis 	Sb03g003490	Sobic.003G039000	PIGT	K05292	-
2890	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb03g003570	Sobic.003G040000	HARS	K01892	EC:6.1.1.21
2891	sbi00230	Purine metabolism 	Sb03g003610	Sobic.003G040500	RPA43	K03004	-
2892	sbi00240	Pyrimidine metabolism 	Sb03g003610	Sobic.003G040500	RPA43	K03004	-
2893	sbi03020	RNA polymerase 	Sb03g003610	Sobic.003G040500	RPA43	K03004	-
2894	sbi00564	Glycerophospholipid metabolism 	Sb03g003630	Sobic.003G040700	CHK	K14156	EC:2.7.1.32 2.7.1.82
2895	sbi03008	Ribosome biogenesis in eukaryotes 	Sb03g003690	Sobic.003G041500	UTP18	K14553	-
2896	sbi03430	Mismatch repair 	Sb03g003700	Sobic.003G041700	MSH6	K08737	-
2897	sbi03018	RNA degradation 	Sb03g003740	Sobic.003G042400	MTR4	K12598	EC:3.6.4.13
2899	sbi03040	Spliceosome 	Sb03g003900	Sobic.003G044400	SNRPF	K11098	-
2900	sbi03015	mRNA surveillance pathway 	Sb03g003950	Sobic.003G045000	PPP2R5	K11584	-
2901	sbi00230	Purine metabolism 	Sb03g003990	Sobic.003G045400	RPB7	K03015	-
2902	sbi00240	Pyrimidine metabolism 	Sb03g003990	Sobic.003G045400	RPB7	K03015	-
2903	sbi03020	RNA polymerase 	Sb03g003990	Sobic.003G045400	RPB7	K03015	-
2904	sbi00904	Diterpenoid biosynthesis 	Sb03g004020	Sobic.003G045900	E1.14.11.15	K04124	EC:1.14.11.15
2905	sbi04146	Peroxisome 	Sb03g004100	Sobic.003G047100	HACL1	K12261	EC:4.1.-.-
2906	sbi00905	Brassinosteroid biosynthesis 	Sb03g004210	Sobic.003G048200	CYP734A1	K15639	EC:1.14.-.-
2907	sbi00330	Arginine and proline metabolism 	Sb03g004265	Sobic.003G049100	E1.14.11.2	K00472	EC:1.14.11.2
2908	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb03g004270	Sobic.003G049200	E1.6.2.2	K00326	EC:1.6.2.2
3747	sbi00941	Flavonoid biosynthesis 	Sb04g000260	Sobic.004G000700	E1.14.11.19	K05277	EC:1.14.11.19
3750	sbi04120	Ubiquitin mediated proteolysis 	Sb04g000340	Sobic.004G001500	TRIP12	K10590	EC:6.3.2.19
3751	sbi03010	Ribosome 	Sb04g000460	Sobic.004G003000	RP-L9e	K02940	-
3754	sbi00010	Glycolysis / Gluconeogenesis 	Sb04g000580	Sobic.004G004400	LDH	K00016	EC:1.1.1.27
3755	sbi00620	Pyruvate metabolism 	Sb04g000580	Sobic.004G004400	LDH	K00016	EC:1.1.1.27
3756	sbi00640	Propanoate metabolism 	Sb04g000580	Sobic.004G004400	LDH	K00016	EC:1.1.1.27
3757	sbi00270	Cysteine and methionine metabolism 	Sb04g000580	Sobic.004G004400	LDH	K00016	EC:1.1.1.27
3758	sbi00010	Glycolysis / Gluconeogenesis 	Sb04g000590	Sobic.004G004500	LDH	K00016	EC:1.1.1.27
3759	sbi00620	Pyruvate metabolism 	Sb04g000590	Sobic.004G004500	LDH	K00016	EC:1.1.1.27
3760	sbi00640	Propanoate metabolism 	Sb04g000590	Sobic.004G004500	LDH	K00016	EC:1.1.1.27
3761	sbi00270	Cysteine and methionine metabolism 	Sb04g000590	Sobic.004G004500	LDH	K00016	EC:1.1.1.27
3762	sbi00052	Galactose metabolism 	Sb04g000620	Sobic.004G004800	E3.2.1.26	K01193	EC:3.2.1.26
3763	sbi00500	Starch and sucrose metabolism 	Sb04g000620	Sobic.004G004800	E3.2.1.26	K01193	EC:3.2.1.26
3764	sbi03040	Spliceosome 	Sb04g000670	Sobic.004G005400	SNRNP200	K12854	EC:3.6.4.13
3765	sbi00860	Porphyrin and chlorophyll metabolism 	Sb04g000740	Sobic.004G006200	hemH	K01772	EC:4.99.1.1
3766	sbi00592	alpha-Linolenic acid metabolism 	Sb04g000830	Sobic.004G007500	HPL	K10528	EC:4.1.2.-
3767	sbi03008	Ribosome biogenesis in eukaryotes 	Sb04g000875	Sobic.004G008000	NOP58	K14565	-
3769	sbi03010	Ribosome 	Sb04g000910	Sobic.004G008400	RP-L37e	K02922	-
3770	sbi00600	Sphingolipid metabolism 	Sb04g000930	Sobic.004G008800	SUR2	K04713	EC:1.14.13.169
3771	sbi00600	Sphingolipid metabolism 	Sb04g000940	Sobic.004G008900	SUR2	K04713	EC:1.14.13.169
3772	sbi00910	Nitrogen metabolism 	Sb04g000970	Sobic.004G009200	NRT	K02575	-
3773	sbi00910	Nitrogen metabolism 	Sb04g000990	Sobic.004G009400	NRT	K02575	-
3774	sbi00910	Nitrogen metabolism 	Sb04g001000	Sobic.004G009500	NRT	K02575	-
3775	sbi00561	Glycerolipid metabolism 	Sb04g001060	Sobic.004G010300	GPAT	K13508	EC:2.3.1.15
3776	sbi00564	Glycerophospholipid metabolism 	Sb04g001060	Sobic.004G010300	GPAT	K13508	EC:2.3.1.15
3777	sbi03008	Ribosome biogenesis in eukaryotes 	Sb04g001100	Sobic.004G011000	NOB1	K11883	-
3778	sbi00630	Glyoxylate and dicarboxylate metabolism 	Sb04g001130	Sobic.004G011500	katE	K03781	EC:1.11.1.6
3779	sbi00380	Tryptophan metabolism 	Sb04g001130	Sobic.004G011500	katE	K03781	EC:1.11.1.6
3780	sbi04146	Peroxisome 	Sb04g001130	Sobic.004G011500	katE	K03781	EC:1.11.1.6
3781	sbi00900	Terpenoid backbone biosynthesis 	Sb04g001220	Sobic.004G012400	E2.7.1.36	K00869	EC:2.7.1.36
3782	sbi04146	Peroxisome 	Sb04g001220	Sobic.004G012400	E2.7.1.36	K00869	EC:2.7.1.36
3783	sbi00230	Purine metabolism 	Sb04g001250	Sobic.004G012800	RPB4	K03012	-
3784	sbi00240	Pyrimidine metabolism 	Sb04g001250	Sobic.004G012800	RPB4	K03012	-
3785	sbi03020	RNA polymerase 	Sb04g001250	Sobic.004G012800	RPB4	K03012	-
3786	sbi00040	Pentose and glucuronate interconversions 	Sb04g001320	Sobic.004G013500	UGP2	K00963	EC:2.7.7.9
3787	sbi00052	Galactose metabolism 	Sb04g001320	Sobic.004G013500	UGP2	K00963	EC:2.7.7.9
3788	sbi00500	Starch and sucrose metabolism 	Sb04g001320	Sobic.004G013500	UGP2	K00963	EC:2.7.7.9
3789	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb04g001320	Sobic.004G013500	UGP2	K00963	EC:2.7.7.9
3790	sbi04140	Regulation of autophagy 	Sb04g001330	Sobic.004G013600	ATG5	K08339	-
3791	sbi00270	Cysteine and methionine metabolism 	Sb04g001510	Sobic.004G016000	speE	K00797	EC:2.5.1.16
3792	sbi00330	Arginine and proline metabolism 	Sb04g001510	Sobic.004G016000	speE	K00797	EC:2.5.1.16
3793	sbi00410	beta-Alanine metabolism 	Sb04g001510	Sobic.004G016000	speE	K00797	EC:2.5.1.16
3794	sbi00480	Glutathione metabolism 	Sb04g001510	Sobic.004G016000	speE	K00797	EC:2.5.1.16
3795	sbi00564	Glycerophospholipid metabolism 	Sb04g001550	Sobic.004G016400	EPT1	K00993	EC:2.7.8.1
3796	sbi00565	Ether lipid metabolism 	Sb04g001550	Sobic.004G016400	EPT1	K00993	EC:2.7.8.1
3797	sbi00564	Glycerophospholipid metabolism 	Sb04g001600	Sobic.004G016900	PLD1_2	K01115	EC:3.1.4.4
3798	sbi00565	Ether lipid metabolism 	Sb04g001600	Sobic.004G016900	PLD1_2	K01115	EC:3.1.4.4
3799	sbi04144	Endocytosis 	Sb04g001600	Sobic.004G016900	PLD1_2	K01115	EC:3.1.4.4
3800	sbi00500	Starch and sucrose metabolism 	Sb04g001670	Sobic.004G017700	TPS	K16055	EC:2.4.1.15 3.1.3.12
3801	sbi04145	Phagosome 	Sb04g001690	Sobic.004G017900	RAC1	K04392	-
3802	sbi00860	Porphyrin and chlorophyll metabolism 	Sb04g001710	Sobic.004G018100	EARS	K01885	EC:6.1.1.17
3803	sbi00970	Aminoacyl-tRNA biosynthesis 	Sb04g001710	Sobic.004G018100	EARS	K01885	EC:6.1.1.17
3804	sbi00902	Monoterpenoid biosynthesis 	Sb04g001760	Sobic.004G018900	TPS14	K15086	EC:4.2.3.25
3805	sbi00902	Monoterpenoid biosynthesis 	Sb04g001770	Sobic.004G019000	TPS14	K15086	EC:4.2.3.25
3806	sbi00902	Monoterpenoid biosynthesis 	Sb04g001780	Sobic.004G019100	TPS14	K15086	EC:4.2.3.25
3807	sbi00902	Monoterpenoid biosynthesis 	Sb04g001800	Sobic.004G019300	TPS14	K15086	EC:4.2.3.25
3808	sbi03013	RNA transport 	Sb04g001820	Sobic.004G019600	SAP18	K14324	-
3809	sbi03015	mRNA surveillance pathway 	Sb04g001820	Sobic.004G019600	SAP18	K14324	-
3810	sbi03013	RNA transport 	Sb04g001850	Sobic.004G020000	EIF3J	K03245	-
3811	sbi03040	Spliceosome 	Sb04g001910	Sobic.004G020700	SFRS4_5_6	K12893	-
3812	sbi04146	Peroxisome 	Sb04g001930	Sobic.004G021100	PEX16	K13335	-
3813	sbi01210	2-Oxocarboxylic acid metabolism 	Sb04g002120	Sobic.004G023900	leuC	K01703	EC:4.2.1.33 4.2.1.35
3814	sbi01230	Biosynthesis of amino acids 	Sb04g002120	Sobic.004G023900	leuC	K01703	EC:4.2.1.33 4.2.1.35
3815	sbi00660	C5-Branched dibasic acid metabolism 	Sb04g002120	Sobic.004G023900	leuC	K01703	EC:4.2.1.33 4.2.1.35
3816	sbi00290	Valine, leucine and isoleucine biosynthesis 	Sb04g002120	Sobic.004G023900	leuC	K01703	EC:4.2.1.33 4.2.1.35
3817	sbi04626	Plant-pathogen interaction 	Sb04g002130	Sobic.004G024000	CML	K13448	-
3818	sbi04130	SNARE interactions in vesicular transport 	Sb04g002250	Sobic.004G025300	GOSR1	K08495	-
3819	sbi01200	Carbon metabolism 	Sb04g002280	Sobic.004G025800	PRPS	K00948	EC:2.7.6.1
3820	sbi01230	Biosynthesis of amino acids 	Sb04g002280	Sobic.004G025800	PRPS	K00948	EC:2.7.6.1
3821	sbi00030	Pentose phosphate pathway 	Sb04g002280	Sobic.004G025800	PRPS	K00948	EC:2.7.6.1
3822	sbi00230	Purine metabolism 	Sb04g002280	Sobic.004G025800	PRPS	K00948	EC:2.7.6.1
3824	sbi04120	Ubiquitin mediated proteolysis 	Sb04g002390	Sobic.004G027000	SIAH1	K04506	EC:6.3.2.19
3825	sbi00500	Starch and sucrose metabolism 	Sb04g002560	Sobic.004G029100	bglX	K05349	EC:3.2.1.21
3826	sbi00460	Cyanoamino acid metabolism 	Sb04g002560	Sobic.004G029100	bglX	K05349	EC:3.2.1.21
3827	sbi00940	Phenylpropanoid biosynthesis 	Sb04g002560	Sobic.004G029100	bglX	K05349	EC:3.2.1.21
3828	sbi00500	Starch and sucrose metabolism 	Sb04g002570	Sobic.004G029300	bglX	K05349	EC:3.2.1.21
3829	sbi00460	Cyanoamino acid metabolism 	Sb04g002570	Sobic.004G029300	bglX	K05349	EC:3.2.1.21
3830	sbi00940	Phenylpropanoid biosynthesis 	Sb04g002570	Sobic.004G029300	bglX	K05349	EC:3.2.1.21
3831	sbi00500	Starch and sucrose metabolism 	Sb04g002580	Sobic.004G029400	bglX	K05349	EC:3.2.1.21
3832	sbi00460	Cyanoamino acid metabolism 	Sb04g002580	Sobic.004G029400	bglX	K05349	EC:3.2.1.21
3833	sbi00940	Phenylpropanoid biosynthesis 	Sb04g002580	Sobic.004G029400	bglX	K05349	EC:3.2.1.21
3834	sbi03050	Proteasome 	Sb04g002770	Sobic.004G032000	PSMA1	K02725	EC:3.4.25.1
3835	sbi00770	Pantothenate and CoA biosynthesis 	Sb04g002790	Sobic.004G032200	E2.7.7.3B	K02201	EC:2.7.7.3
3836	sbi00250	Alanine, aspartate and glutamate metabolism 	Sb04g002810	Sobic.004G032400	nadB	K00278	EC:1.4.3.16
3837	sbi00760	Nicotinate and nicotinamide metabolism 	Sb04g002810	Sobic.004G032400	nadB	K00278	EC:1.4.3.16
3839	sbi03040	Spliceosome 	Sb04g003000	Sobic.004G034700	SF3B3	K12830	-
3840	sbi03440	Homologous recombination 	Sb04g003070	Sobic.004G035300	BLM	K10901	EC:3.6.4.12
3842	sbi00100	Steroid biosynthesis 	Sb04g003190	Sobic.004G037100	E5.4.99.8	K01853	EC:5.4.99.8
3843	sbi00100	Steroid biosynthesis 	Sb04g003200	Sobic.004G037200	E5.4.99.8	K01853	EC:5.4.99.8
3844	sbi00790	Folate biosynthesis 	Sb04g003220	Sobic.004G037600	MOCS2	K03635	EC:2.8.1.12
3845	sbi04122	Sulfur relay system 	Sb04g003220	Sobic.004G037600	MOCS2	K03635	EC:2.8.1.12
3846	sbi00520	Amino sugar and nucleotide sugar metabolism 	Sb04g003250	Sobic.004G037900	E2.7.1.46	K12446	EC:2.7.1.46
3849	sbi04075	Plant hormone signal transduction 	Sb04g003330	Sobic.004G038700	SAUR	K14488	-
3850	sbi03040	Spliceosome 	Sb04g003370	Sobic.004G039200	SF3B1	K12828	-
3851	sbi00510	N-Glycan biosynthesis 	Sb04g003380	Sobic.004G039300	E2.7.1.108	K00902	EC:2.7.1.108
3852	sbi03013	RNA transport 	Sb04g003390	Sobic.004G039400	EIF4A	K03257	-
3853	sbi03050	Proteasome 	Sb04g003410	Sobic.004G039600	PSMD2	K03028	-
3854	sbi03013	RNA transport 	Sb04g003550	Sobic.004G040900	EIF5	K03262	-
3855	sbi04712	Circadian rhythm - plant 	Sb04g003660	Sobic.004G042200	ZTL	K12115	-
3856	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb04g003790	Sobic.004G044200	menB	K01661	EC:4.1.3.36
3857	sbi03010	Ribosome 	Sb04g003890	Sobic.004G045300	RP-L19e	K02885	-
3858	sbi03010	Ribosome 	Sb04g003900	Sobic.004G045400	RP-L37Ae	K02921	-
3859	sbi04144	Endocytosis 	Sb04g004020	Sobic.004G047100	EHD1	K12483	-
3862	sbi00230	Purine metabolism 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3863	sbi00240	Pyrimidine metabolism 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3864	sbi03030	DNA replication 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3865	sbi03410	Base excision repair 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3866	sbi03420	Nucleotide excision repair 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3867	sbi03430	Mismatch repair 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3868	sbi03440	Homologous recombination 	Sb04g004200	Sobic.004G049200	POLD1	K02327	EC:2.7.7.7
3869	sbi04140	Regulation of autophagy 	Sb04g004230	Sobic.004G049500	PRKAA	K07198	EC:2.7.11.11
3870	sbi00360	Phenylalanine metabolism 	Sb04g004250	Sobic.004G049800	E1.11.1.7	K00430	EC:1.11.1.7
3871	sbi00940	Phenylpropanoid biosynthesis 	Sb04g004250	Sobic.004G049800	E1.11.1.7	K00430	EC:1.11.1.7
3873	sbi04141	Protein processing in endoplasmic reticulum 	Sb04g004420	Sobic.004G051700	OTU1	K13719	EC:3.1.2.-
3874	sbi00780	Biotin metabolism 	Sb04g004480	Sobic.004G052900	HLCS	K01942	EC:6.3.4.9 6.3.4.10 6.3.4.11 6.3.4.15
3875	sbi00920	Sulfur metabolism 	Sb04g004490	Sobic.004G053000	TST	K01011	EC:2.8.1.1 2.8.1.2
3876	sbi00270	Cysteine and methionine metabolism 	Sb04g004490	Sobic.004G053000	TST	K01011	EC:2.8.1.1 2.8.1.2
3877	sbi04122	Sulfur relay system 	Sb04g004490	Sobic.004G053000	TST	K01011	EC:2.8.1.1 2.8.1.2
3878	sbi04145	Phagosome 	Sb04g004520	Sobic.004G053300	TUBB	K07375	-
3879	sbi04075	Plant hormone signal transduction 	Sb04g004530	Sobic.004G053400	SAUR	K14488	-
3880	sbi00350	Tyrosine metabolism 	Sb04g004560	Sobic.004G053700	HPD	K00457	EC:1.13.11.27
3881	sbi00360	Phenylalanine metabolism 	Sb04g004560	Sobic.004G053700	HPD	K00457	EC:1.13.11.27
3882	sbi00130	Ubiquinone and other terpenoid-quinone biosynthesis 	Sb04g004560	Sobic.004G053700	HPD	K00457	EC:1.13.11.27
3883	sbi00860	Porphyrin and chlorophyll metabolism 	Sb04g004630	Sobic.004G054500	hemC	K01749	EC:2.5.1.61
3884	sbi00860	Porphyrin and chlorophyll metabolism 	Sb04g004640	Sobic.004G054600	hemC	K01749	EC:2.5.1.61
3886	sbi03010	Ribosome 	Sb04g004680	Sobic.004G055100	RP-L27Ae	K02900	-
3887	sbi00562	Inositol phosphate metabolism 	Sb04g004700	Sobic.004G055500	E3.1.3.25	K01092	EC:3.1.3.25
3888	sbi04070	Phosphatidylinositol signaling system 	Sb04g004700	Sobic.004G055500	E3.1.3.25	K01092	EC:3.1.3.25
3889	sbi00630	Glyoxylate and dicarboxylate metabolism 	Sb04g004720	Sobic.004G055700	gcvH	K02437	-
3890	sbi00260	Glycine, serine and threonine metabolism 	Sb04g004720	Sobic.004G055700	gcvH	K02437	-
3891	sbi01200	Carbon metabolism 	Sb04g004750	Sobic.004G056400	GAPDH	K00134	EC:1.2.1.12
3892	sbi01230	Biosynthesis of amino acids 	Sb04g004750	Sobic.004G056400	GAPDH	K00134	EC:1.2.1.12
3893	sbi00010	Glycolysis / Gluconeogenesis 	Sb04g004750	Sobic.004G056400	GAPDH	K00134	EC:1.2.1.12
3894	sbi00710	Carbon fixation in photosynthetic organisms 	Sb04g004750	Sobic.004G056400	GAPDH	K00134	EC:1.2.1.12
3895	sbi00196	Photosynthesis - antenna proteins 	Sb04g004770	Sobic.004G056900	LHCA1	K08907	-
3896	sbi00564	Glycerophospholipid metabolism 	Sb04g004880	Sobic.004G058200	PCYT1	K00968	EC:2.7.7.15
4508	sbi03013	RNA transport 	Sb05g000220	Sobic.005G000300	RPP1	K03539	EC:3.1.26.5
4509	sbi03008	Ribosome biogenesis in eukaryotes 	Sb05g000220	Sobic.005G000300	RPP1	K03539	EC:3.1.26.5
4510	sbi03018	RNA degradation 	Sb05g000270	Sobic.005G001000	CNOT4	K10643	EC:6.3.2.19
4512	sbi00906	Carotenoid biosynthesis 	Sb05g000380	Sobic.005G002500	CCD8	K17913	EC:1.13.11.69 1.13.11.70
4513	sbi01212	Fatty acid metabolism 	Sb05g000390	Sobic.005G002700	FAD8	K10257	EC:1.14.19.-
